[2025-10-07 21:41:58,923: INFO: main: Welcome to custom Log]
[2025-10-09 16:47:36,356: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-09 16:47:36,531: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-09 16:47:36,599: INFO: common: created directory at: artifacts]
[2025-10-09 16:47:36,610: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-09 16:47:36,619: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1QjXtnIdCrFa2AwrT-SF4H_tS-yFFRlsT/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-09 16:50:47,908: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1QjXtnIdCrFa2AwrT-SF4H_tS-yFFRlsT/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-09 17:45:42,172: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-09 17:45:42,241: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-09 17:45:42,247: INFO: common: created directory at: artifacts]
[2025-10-09 17:45:42,255: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-09 17:45:42,258: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1QjXtnIdCrFa2AwrT-SF4H_tS-yFFRlsT/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-09 17:57:33,407: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-10-09 17:57:33,423: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-09 17:57:33,469: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-09 17:57:33,480: INFO: common: created directory at: artifacts]
[2025-10-09 17:57:33,481: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-09 17:57:33,486: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1QjXtnIdCrFa2AwrT-SF4H_tS-yFFRlsT/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-09 18:00:49,387: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1QjXtnIdCrFa2AwrT-SF4H_tS-yFFRlsT/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-09 18:02:08,410: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2025-10-10 17:05:19,853: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-10 17:05:19,896: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-10 17:05:19,901: INFO: common: created directory at: artifacts]
[2025-10-10 17:05:19,905: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-10 17:05:19,912: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1QjXtnIdCrFa2AwrT-SF4H_tS-yFFRlsT/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-10 17:16:25,771: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-10 17:16:25,783: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-10 17:16:25,795: INFO: common: created directory at: artifacts]
[2025-10-10 17:16:25,804: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-10 17:16:25,809: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1QjXtnIdCrFa2AwrT-SF4H_tS-yFFRlsT/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-10 17:21:27,442: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-10 17:21:27,451: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-10 17:21:27,461: INFO: common: created directory at: artifacts]
[2025-10-10 17:21:27,467: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-10 17:21:27,472: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1rjXCNErvpctw2gaAnLdphujrjRC7bEMm/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-10-10 17:21:41,022: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1rjXCNErvpctw2gaAnLdphujrjRC7bEMm/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
